Word=Confidence Pos=NN StartS=t I
Word=the Pos=DT PPos=IN StartS=f I
Word=last Pos=JJ PPos=DT StartS=f I
Word=decade Pos=NN PPos=JJ StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=but Pos=CC PPos=, StartS=f O
Word=the Pos=DT PPos=CC StartS=f I
Word=index Pos=NN PPos=DT StartS=f I
Word=money Pos=NN PPos=NN StartS=f I
Word=has Pos=VBZ PPos=NN StartS=f O
Word=been Pos=VBN PPos=VBZ StartS=f O
Word=just Pos=RB PPos=VBN StartS=f O
Word=sort Pos=NN PPos=RB StartS=f O
Word=of Pos=IN PPos=NN StartS=f O
Word=sitting Pos=VBG PPos=IN StartS=f O
Word=there Pos=EX PPos=VBG StartS=f O
Word=, Pos=, PPos=EX StartS=f O
Word='' Pos='' PPos=, StartS=f O
Word=says Pos=VBZ PPos='' StartS=f O
Word=Seth Pos=NNP PPos=VBZ StartS=f I
Word=M. Pos=NNP PPos=NNP StartS=f I
Word=Lynn Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=president Pos=NN PPos=, StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=Axe Pos=NNP PPos=IN StartS=f I
Word=Core Pos=NNP PPos=NNP StartS=f I
Word=Investors Pos=NNP PPos=NNP StartS=f I
Word=Inc. Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=an Pos=DT PPos=, StartS=f I
Word=indexer Pos=NN PPos=DT StartS=f I
Word=based Pos=VBN PPos=NN StartS=f O
Word=in Pos=IN PPos=VBN StartS=f O
Word=Tarrytown Pos=NNP PPos=IN StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=N.Y Pos=NNP PPos=, StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=`` Pos=`` StartS=t O
Word=Now Pos=RB PPos=`` StartS=f O
Word=the Pos=DT PPos=RB StartS=f I
Word=interest Pos=NN PPos=DT StartS=f I
Word=is Pos=VBZ PPos=NN StartS=f O
Word=in Pos=IN PPos=VBZ StartS=f O
Word=what Pos=WP PPos=IN StartS=f I
Word=else Pos=RB PPos=WP StartS=f I
Word=can Pos=MD PPos=RB StartS=f O
Word=I Pos=PRP PPos=MD StartS=f I
Word=do Pos=VB PPos=PRP StartS=f O
Word=with Pos=IN PPos=VB StartS=f O
Word=that Pos=DT PPos=IN StartS=f I
Word=money Pos=NN PPos=DT StartS=f I
Word=. Pos=. PPos=NN StartS=f O
Word='' Pos='' PPos=. StartS=f O

Word=Among Pos=IN StartS=t O
Word=the Pos=DT PPos=IN StartS=f I
Word=souped-up Pos=JJ PPos=DT StartS=f I
Word=indexing Pos=NN PPos=JJ StartS=f I
Word=strategies Pos=NNS PPos=NN StartS=f I
Word=: Pos=: PPos=NNS StartS=f O
Word=Indexed Pos=JJ PPos=: StartS=f I
Word=portfolios Pos=NNS PPos=JJ StartS=f I
Word=can Pos=MD PPos=NNS StartS=f O
Word=be Pos=VB PPos=MD StartS=f O
Word=built Pos=VBN PPos=VB StartS=f O
Word=around Pos=IN PPos=VBN StartS=f O
Word=thousands Pos=NNS PPos=IN StartS=f I
Word=of Pos=IN PPos=NNS StartS=f O
Word=stocks Pos=NNS PPos=IN StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=or Pos=CC PPos=, StartS=f O
Word=just Pos=RB PPos=CC StartS=f I
Word=a Pos=DT PPos=RB StartS=f I
Word=few Pos=JJ PPos=DT StartS=f I
Word=dozen Pos=NN PPos=JJ StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=rather Pos=RB PPos=, StartS=f O
Word=than Pos=IN PPos=RB StartS=f O
Word=being Pos=VBG PPos=IN StartS=f O
Word=restricted Pos=VBN PPos=VBG StartS=f O
Word=to Pos=TO PPos=VBN StartS=f O
Word=the Pos=DT PPos=TO StartS=f I
Word=S&P Pos=NNP PPos=DT StartS=f I
Word=500 Pos=CD PPos=NNP StartS=f I
Word=companies Pos=NNS PPos=CD StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=They Pos=PRP StartS=t I
Word=can Pos=MD PPos=PRP StartS=f O
Word=ignore Pos=VB PPos=MD StartS=f O
Word=the Pos=DT PPos=VB StartS=f I
Word=S&P Pos=NNP PPos=DT StartS=f I
Word=500 Pos=CD PPos=NNP StartS=f I
Word=stocks Pos=NNS PPos=CD StartS=f I
Word=altogether Pos=RB PPos=NNS StartS=f O
Word=and Pos=CC PPos=RB StartS=f O
Word=focus Pos=NN PPos=CC StartS=f O
Word=on Pos=IN PPos=NN StartS=f O
Word=particular Pos=JJ PPos=IN StartS=f I
Word=types Pos=NNS PPos=JJ StartS=f I
Word=of Pos=IN PPos=NNS StartS=f O
Word=stocks Pos=NNS PPos=IN StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=such Pos=JJ PPos=, StartS=f O
Word=as Pos=IN PPos=JJ StartS=f O
Word=smaller Pos=JJR PPos=IN StartS=f I
Word=companies Pos=NNS PPos=JJR StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=those Pos=DT PPos=, StartS=f I
Word=paying Pos=VBG PPos=DT StartS=f I
Word=high Pos=JJ PPos=VBG StartS=f I
Word=dividends Pos=NNS PPos=JJ StartS=f I
Word=or Pos=CC PPos=NNS StartS=f O
Word=companies Pos=NNS PPos=CC StartS=f I
Word=in Pos=IN PPos=NNS StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=particular Pos=JJ PPos=DT StartS=f I
Word=industry Pos=NN PPos=JJ StartS=f I
Word=, Pos=, PPos=NN StartS=f I
Word=state Pos=NN PPos=, StartS=f I
Word=or Pos=CC PPos=NN StartS=f I
Word=country Pos=NN PPos=CC StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=With Pos=IN StartS=t O
Word=today Pos=NN PPos=IN StartS=f I
Word='s Pos=POS PPos=NN StartS=f B
Word=computer-driven Pos=JJ PPos=POS StartS=f I
Word=program Pos=NN PPos=JJ StartS=f I
Word=trading Pos=NN PPos=NN StartS=f I
Word=techniques Pos=NNS PPos=NN StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=index Pos=NN PPos=, StartS=f I
Word=funds Pos=NNS PPos=NN StartS=f I
Word=can Pos=MD PPos=NNS StartS=f O
Word=trade Pos=VB PPos=MD StartS=f O
Word=back Pos=RB PPos=VB StartS=f O
Word=and Pos=CC PPos=RB StartS=f O
Word=forth Pos=RB PPos=CC StartS=f O
Word=between Pos=IN PPos=RB StartS=f O
Word=stock-index Pos=NN PPos=IN StartS=f I
Word=futures Pos=NNS PPos=NN StartS=f I
Word=and Pos=CC PPos=NNS StartS=f O
Word=the Pos=DT PPos=CC StartS=f I
Word=actual Pos=JJ PPos=DT StartS=f I
Word=stocks Pos=NNS PPos=JJ StartS=f I
Word=making Pos=VBG PPos=NNS StartS=f O
Word=up Pos=IN PPos=VBG StartS=f O
Word=indexes Pos=NNS PPos=IN StartS=f I
Word=such Pos=JJ PPos=NNS StartS=f O
Word=as Pos=IN PPos=JJ StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=S&P Pos=NNP PPos=DT StartS=f I
Word=500 Pos=CD PPos=NNP StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=Futures Pos=NNS StartS=t I
Word=and Pos=CC PPos=NNS StartS=f I
Word=options Pos=NNS PPos=CC StartS=f I
Word=also Pos=RB PPos=NNS StartS=f O
Word=make Pos=VBP PPos=RB StartS=f O
Word=it Pos=PRP PPos=VBP StartS=f I
Word=possible Pos=JJ PPos=PRP StartS=f O
Word=to Pos=TO PPos=JJ StartS=f O
Word=build Pos=VB PPos=TO StartS=f O
Word=`` Pos=`` PPos=VB StartS=f I
Word=synthetic Pos=JJ PPos=`` StartS=f I
Word='' Pos='' PPos=JJ StartS=f I
Word=index Pos=NN PPos='' StartS=f I
Word=funds Pos=NNS PPos=NN StartS=f I
Word=that Pos=WDT PPos=NNS StartS=f B
Word=do Pos=VBP PPos=WDT StartS=f O
Word=n't Pos=RB PPos=VBP StartS=f O
Word=actually Pos=RB PPos=RB StartS=f O
Word=own Pos=VB PPos=RB StartS=f O
Word=a Pos=DT PPos=VB StartS=f I
Word=single Pos=JJ PPos=DT StartS=f I
Word=share Pos=NN PPos=JJ StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=stock Pos=NN PPos=IN StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=but Pos=CC PPos=, StartS=f O
Word=can Pos=MD PPos=CC StartS=f O
Word=produce Pos=VB PPos=MD StartS=f O
Word=returns Pos=NNS PPos=VB StartS=f I
Word=that Pos=WDT PPos=NNS StartS=f B
Word=match Pos=VBP PPos=WDT StartS=f O
Word=or Pos=CC PPos=VBP StartS=f O
Word=exceed Pos=VB PPos=CC StartS=f O
Word=the Pos=DT PPos=VB StartS=f I
Word=broad Pos=JJ PPos=DT StartS=f I
Word=stock Pos=NN PPos=JJ StartS=f I
Word=market Pos=NN PPos=NN StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=One Pos=CD StartS=t I
Word=reason Pos=NN PPos=CD StartS=f I
Word=for Pos=IN PPos=NN StartS=f O
Word=these Pos=DT PPos=IN StartS=f I
Word=hybrids Pos=NNS PPos=DT StartS=f I
Word=is Pos=VBZ PPos=NNS StartS=f O
Word=that Pos=DT PPos=VBZ StartS=f O
Word=indexing Pos=NN PPos=DT StartS=f I
Word='s Pos=POS PPos=NN StartS=f B
Word=rapid Pos=JJ PPos=POS StartS=f I
Word=growth Pos=NN PPos=JJ StartS=f I
Word=is Pos=VBZ PPos=NN StartS=f O
Word=slowing Pos=VBG PPos=VBZ StartS=f O
Word=, Pos=, PPos=VBG StartS=f O
Word=particularly Pos=RB PPos=, StartS=f O
Word=for Pos=IN PPos=RB StartS=f O
Word=those Pos=DT PPos=IN StartS=f I
Word=`` Pos=`` PPos=DT StartS=f I
Word=plain Pos=JJ PPos=`` StartS=f I
Word=vanilla Pos=NN PPos=JJ StartS=f I
Word='' Pos='' PPos=NN StartS=f I
Word=funds Pos=VBZ PPos='' StartS=f I
Word=that Pos=DT PPos=VBZ StartS=f B
Word=mirror Pos=NN PPos=DT StartS=f O
Word=the Pos=DT PPos=NN StartS=f I
Word=S&P Pos=NNP PPos=DT StartS=f I
Word=500 Pos=CD PPos=NNP StartS=f I
Word=. Pos=. PPos=CD StartS=f O

Word=`` Pos=`` StartS=t O
Word=There Pos=EX PPos=`` StartS=f I
Word=is Pos=VBZ PPos=EX StartS=f O
Word=n't Pos=RB PPos=VBZ StartS=f O
Word=a Pos=DT PPos=RB StartS=f I
Word=boatload Pos=NN PPos=DT StartS=f I
Word=-LCB- Pos=( PPos=NN StartS=f O
Word=of Pos=IN PPos=( StartS=f O
Word=big Pos=JJ PPos=IN StartS=f I
Word=investors Pos=NNS PPos=JJ StartS=f I
Word=-RCB- Pos=) PPos=NNS StartS=f O
Word=out Pos=IN PPos=) StartS=f O
Word=there Pos=EX PPos=IN StartS=f O
Word=still Pos=RB PPos=EX StartS=f O
Word=waiting Pos=VBG PPos=RB StartS=f O
Word=to Pos=TO PPos=VBG StartS=f O
Word=get Pos=VB PPos=TO StartS=f O
Word=into Pos=IN PPos=VB StartS=f O
Word=indexing Pos=NN PPos=IN StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word='' Pos='' PPos=, StartS=f O
Word=says Pos=VBZ PPos='' StartS=f O
Word=P. Pos=NNP PPos=VBZ StartS=f I
Word=James Pos=NNP PPos=NNP StartS=f I
Word=Kartalia Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=vice Pos=NN PPos=, StartS=f I
Word=president Pos=NN PPos=NN StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=ANB Pos=NNP PPos=IN StartS=f I
Word=Investment Pos=NNP PPos=NNP StartS=f I
Word=Management Pos=NNP PPos=NNP StartS=f I
Word=Co. Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=Chicago Pos=NNP PPos=, StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=which Pos=WDT PPos=, StartS=f I
Word=offers Pos=VBZ PPos=WDT StartS=f O
Word=both Pos=DT PPos=VBZ StartS=f O
Word=indexing Pos=NN PPos=DT StartS=f I
Word=and Pos=CC PPos=NN StartS=f O
Word=active Pos=JJ PPos=CC StartS=f I
Word=management Pos=NN PPos=JJ StartS=f I
Word=services Pos=NNS PPos=NN StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=-LRB- Pos=( StartS=t O
Word=After Pos=IN PPos=( StartS=f O
Word=tripling Pos=VBG PPos=IN StartS=f O
Word=in Pos=IN PPos=VBG StartS=f O
Word=size Pos=NN PPos=IN StartS=f I
Word=in Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=past Pos=JJ PPos=DT StartS=f I
Word=five Pos=CD PPos=JJ StartS=f I
Word=years Pos=NNS PPos=CD StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=index Pos=NN PPos=, StartS=f I
Word=funds Pos=NNS PPos=NN StartS=f I
Word=now Pos=RB PPos=NNS StartS=f O
Word=hold Pos=VBP PPos=RB StartS=f O
Word=about Pos=IN PPos=VBP StartS=f I
Word=20 Pos=CD PPos=IN StartS=f I
Word=% Pos=NN PPos=CD StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=stock Pos=NN PPos=DT StartS=f I
Word=owned Pos=VBN PPos=NN StartS=f O
Word=by Pos=IN PPos=VBN StartS=f O
Word=pension Pos=NN PPos=IN StartS=f I
Word=funds Pos=NNS PPos=NN StartS=f I
Word=. Pos=. PPos=NNS StartS=f O
Word=-RRB- Pos=) PPos=. StartS=f O

Word=A Pos=DT StartS=t I
Word=further Pos=JJ PPos=DT StartS=f I
Word=problem Pos=NN PPos=JJ StartS=f I
Word=is Pos=VBZ PPos=NN StartS=f O
Word=razor-thin Pos=JJ PPos=VBZ StartS=f I
Word=profits Pos=NNS PPos=JJ StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=Plain-vanilla Pos=JJ StartS=t I
Word=funds Pos=NNS PPos=JJ StartS=f I
Word=have Pos=VBP PPos=NNS StartS=f O
Word=become Pos=VBN PPos=VBP StartS=f O
Word=so Pos=RB PPos=VBN StartS=f O
Word=commonplace Pos=JJ PPos=RB StartS=f O
Word=that Pos=IN PPos=JJ StartS=f O
Word=fees Pos=NNS PPos=IN StartS=f I
Word=they Pos=PRP PPos=NNS StartS=f B
Word=can Pos=MD PPos=PRP StartS=f O
Word=charge Pos=VB PPos=MD StartS=f O
Word=have Pos=NN PPos=VB StartS=f O
Word=plunged Pos=VBN PPos=NN StartS=f O
Word=to Pos=TO PPos=VBN StartS=f O
Word=almost Pos=JJ PPos=TO StartS=f I
Word=nothing Pos=NN PPos=JJ StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=and Pos=CC PPos=, StartS=f O
Word=in Pos=IN PPos=CC StartS=f O
Word=some Pos=DT PPos=IN StartS=f I
Word=cases Pos=NNS PPos=DT StartS=f I
Word=are Pos=VBP PPos=NNS StartS=f O
Word=just Pos=RB PPos=VBP StartS=f I
Word=that Pos=DT PPos=RB StartS=f I
Word=. Pos=. PPos=DT StartS=f O

Word=To Pos=TO StartS=t O
Word=land Pos=VB PPos=TO StartS=f O
Word=customers Pos=NNS PPos=VB StartS=f I
Word=for Pos=IN PPos=NNS StartS=f O
Word=their Pos=PRP$ PPos=IN StartS=f I
Word=well-paying Pos=JJ PPos=PRP$ StartS=f I
Word=stock Pos=NN PPos=JJ StartS=f I
Word=custodial Pos=JJ PPos=NN StartS=f I
Word=business Pos=NN PPos=JJ StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=big Pos=JJ PPos=, StartS=f I
Word=banks Pos=NNS PPos=JJ StartS=f I
Word=sometimes Pos=RB PPos=NNS StartS=f O
Word=will Pos=MD PPos=RB StartS=f O
Word=throw Pos=VB PPos=MD StartS=f O
Word=in Pos=IN PPos=VB StartS=f O
Word=basic Pos=JJ PPos=IN StartS=f I
Word=indexing Pos=NN PPos=JJ StartS=f I
Word=services Pos=NNS PPos=NN StartS=f I
Word=for Pos=IN PPos=NNS StartS=f O
Word=free Pos=JJ PPos=IN StartS=f O
Word=. Pos=. PPos=JJ StartS=f O

Word=`` Pos=`` StartS=t O
Word=It Pos=PRP PPos=`` StartS=f I
Word='s Pos=VBZ PPos=PRP StartS=f O
Word=like Pos=IN PPos=VBZ StartS=f O
Word=getting Pos=VBG PPos=IN StartS=f O
Word=a Pos=DT PPos=VBG StartS=f I
Word=free Pos=JJ PPos=DT StartS=f I
Word=toaster Pos=NN PPos=JJ StartS=f I
Word=when Pos=WRB PPos=NN StartS=f O
Word=you Pos=PRP PPos=WRB StartS=f I
Word=open Pos=VB PPos=PRP StartS=f O
Word=an Pos=DT PPos=VB StartS=f I
Word=account Pos=NN PPos=DT StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word='' Pos='' PPos=, StartS=f O
Word=says Pos=VBZ PPos='' StartS=f O
Word=Axe Pos=NNP PPos=VBZ StartS=f I
Word=Core Pos=NNP PPos=NNP StartS=f I
Word='s Pos=POS PPos=NNP StartS=f B
Word=Mr. Pos=NNP PPos=POS StartS=f I
Word=Lynn Pos=NNP PPos=NNP StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=As Pos=IN StartS=t O
Word=a Pos=DT PPos=IN StartS=f I
Word=result Pos=NN PPos=DT StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=indexers Pos=NNS PPos=, StartS=f I
Word=have Pos=VBP PPos=NNS StartS=f O
Word=been Pos=VBN PPos=VBP StartS=f O
Word=looking Pos=VBG PPos=VBN StartS=f O
Word=for Pos=IN PPos=VBG StartS=f O
Word=ways Pos=NNS PPos=IN StartS=f I
Word=to Pos=TO PPos=NNS StartS=f O
Word=give Pos=VB PPos=TO StartS=f O
Word=investors Pos=NNS PPos=VB StartS=f I
Word=something Pos=NN PPos=NNS StartS=f B
Word=more Pos=JJR PPos=NN StartS=f O
Word=than Pos=IN PPos=JJR StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=average Pos=NN PPos=DT StartS=f I
Word=for Pos=IN PPos=NN StartS=f O
Word=their Pos=PRP$ PPos=IN StartS=f I
Word=money Pos=NN PPos=PRP$ StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=And Pos=CC StartS=t O
Word=many Pos=JJ PPos=CC StartS=f I
Word=have Pos=NN PPos=JJ StartS=f O
Word=been Pos=VBN PPos=NN StartS=f O
Word=successful Pos=JJ PPos=VBN StartS=f O
Word=, Pos=, PPos=JJ StartS=f O
Word=as Pos=IN PPos=, StartS=f O
Word=in Pos=IN PPos=IN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=case Pos=NN PPos=DT StartS=f I
Word=of Pos=IN PPos=NN StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=index Pos=NN PPos=DT StartS=f I
Word=fund Pos=NN PPos=NN StartS=f I
Word=operated Pos=VBN PPos=NN StartS=f O
Word=by Pos=IN PPos=VBN StartS=f O
Word=hyper-trader Pos=NN PPos=IN StartS=f I
Word=Westridge Pos=NNP PPos=NN StartS=f I
Word=Capital Pos=NNP PPos=NNP StartS=f I
Word=. Pos=. PPos=NNP StartS=f O

Word=Westridge Pos=NNP StartS=t I
Word=Capital Pos=NNP PPos=NNP StartS=f I
Word=has Pos=VBZ PPos=NNP StartS=f O
Word=used Pos=VBN PPos=VBZ StartS=f O
Word=enhanced Pos=VBN PPos=VBN StartS=f I
Word=indexing Pos=NN PPos=VBN StartS=f I
Word=techniques Pos=NNS PPos=NN StartS=f I
Word=to Pos=TO PPos=NNS StartS=f O
Word=beat Pos=VB PPos=TO StartS=f O
Word=the Pos=DT PPos=VB StartS=f I
Word=S&P Pos=NNP PPos=DT StartS=f I
Word=500 Pos=CD PPos=NNP StartS=f I
Word='s Pos=POS PPos=CD StartS=f B
Word=returns Pos=NNS PPos=POS StartS=f I
Word=by Pos=IN PPos=NNS StartS=f O
Word=2.5 Pos=CD PPos=IN StartS=f I
Word=to Pos=TO PPos=CD StartS=f I
Word=3 Pos=CD PPos=TO StartS=f I
Word=percentage Pos=NN PPos=CD StartS=f I
Word=points Pos=NNS PPos=NN StartS=f I
Word=over Pos=IN PPos=NNS StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=past Pos=JJ PPos=DT StartS=f I
Word=four Pos=CD PPos=JJ StartS=f I
Word=years Pos=NNS PPos=CD StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=with Pos=IN PPos=, StartS=f O
Word=the Pos=DT PPos=IN StartS=f I
Word=same Pos=JJ PPos=DT StartS=f I
Word=risk Pos=NN PPos=JJ StartS=f I
Word=level Pos=NN PPos=NN StartS=f I
Word=as Pos=IN PPos=NN StartS=f O
Word=holding Pos=VBG PPos=IN StartS=f O
Word=the Pos=DT PPos=VBG StartS=f I
Word=S&P Pos=NNP PPos=DT StartS=f I
Word=500 Pos=CD PPos=NNP StartS=f I
Word=stocks Pos=NNS PPos=CD StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=according Pos=VBG PPos=, StartS=f O
Word=to Pos=TO PPos=VBG StartS=f O
Word=James Pos=NNP PPos=TO StartS=f I
Word=Carder Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=the Pos=DT PPos=, StartS=f I
Word=firm Pos=NN PPos=DT StartS=f I
Word='s Pos=POS PPos=NN StartS=f B
Word=president Pos=NN PPos=POS StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=Strategies Pos=NNS StartS=t I
Word=vary Pos=VBP PPos=NNS StartS=f O
Word=for Pos=IN PPos=VBP StartS=f O
Word=Westridge Pos=NNP PPos=IN StartS=f I
Word=Capital Pos=NNP PPos=NNP StartS=f I
Word=, Pos=, PPos=NNP StartS=f O
Word=which Pos=WDT PPos=, StartS=f I
Word=has Pos=VBZ PPos=WDT StartS=f O
Word=$ Pos=$ PPos=VBZ StartS=f I
Word=300 Pos=CD PPos=$ StartS=f I
Word=million Pos=CD PPos=CD StartS=f I
Word=under Pos=IN PPos=CD StartS=f O
Word=management Pos=NN PPos=IN StartS=f I
Word=. Pos=. PPos=NN StartS=f O

Word=The Pos=DT StartS=t I
Word=firm Pos=NN PPos=DT StartS=f I
Word=sometimes Pos=RB PPos=NN StartS=f O
Word=buys Pos=VBZ PPos=RB StartS=f O
Word=S&P Pos=NNP PPos=VBZ StartS=f I
Word=500 Pos=CD PPos=NNP StartS=f I
Word=futures Pos=NNS PPos=CD StartS=f I
Word=when Pos=WRB PPos=NNS StartS=f O
Word=they Pos=PRP PPos=WRB StartS=f I
Word=are Pos=VBP PPos=PRP StartS=f O
Word=selling Pos=VBG PPos=VBP StartS=f O
Word=at Pos=IN PPos=VBG StartS=f O
Word=a Pos=DT PPos=IN StartS=f I
Word=discount Pos=NN PPos=DT StartS=f I
Word=to Pos=TO PPos=NN StartS=f O
Word=the Pos=DT PPos=TO StartS=f I
Word=actual Pos=JJ PPos=DT StartS=f I
Word=stocks Pos=NNS PPos=JJ StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=and Pos=CC PPos=, StartS=f O
Word=will Pos=MD PPos=CC StartS=f O
Word=switch Pos=VB PPos=MD StartS=f O
Word=back Pos=RB PPos=VB StartS=f O
Word=and Pos=CC PPos=RB StartS=f O
Word=forth Pos=RB PPos=CC StartS=f O
Word=between Pos=IN PPos=RB StartS=f O
Word=stocks Pos=NNS PPos=IN StartS=f I
Word=and Pos=CC PPos=NNS StartS=f O
Word=stock-index Pos=NN PPos=CC StartS=f I
Word=futures Pos=NNS PPos=NN StartS=f I
Word=to Pos=TO PPos=NNS StartS=f O
Word=take Pos=VB PPos=TO StartS=f O
Word=advantages Pos=NNS PPos=VB StartS=f I
Word=of Pos=IN PPos=NNS StartS=f O
Word=any Pos=DT PPos=IN StartS=f I
Word=momentary Pos=JJ PPos=DT StartS=f I
Word=price Pos=NN PPos=JJ StartS=f I
Word=discrepencies Pos=NNS PPos=NN StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=Mr. Pos=NNP StartS=t I
Word=Carder Pos=NNP PPos=NNP StartS=f I
Word=also Pos=RB PPos=NNP StartS=f O
Word=goes Pos=VBZ PPos=RB StartS=f O
Word=through Pos=IN PPos=VBZ StartS=f O
Word=periods Pos=NNS PPos=IN StartS=f I
Word=when Pos=WRB PPos=NNS StartS=f O
Word=he Pos=PRP PPos=WRB StartS=f I
Word=buys Pos=VBZ PPos=PRP StartS=f O
Word=stocks Pos=NNS PPos=VBZ StartS=f I
Word=in Pos=IN PPos=NNS StartS=f O
Word=conjunction Pos=NN PPos=IN StartS=f I
Word=with Pos=IN PPos=NN StartS=f O
Word=options Pos=NNS PPos=IN StartS=f I
Word=to Pos=TO PPos=NNS StartS=f O
Word=boost Pos=VB PPos=TO StartS=f O
Word=returns Pos=NNS PPos=VB StartS=f I
Word=and Pos=CC PPos=NNS StartS=f O
Word=protect Pos=VB PPos=CC StartS=f O
Word=against Pos=IN PPos=VB StartS=f O
Word=declines Pos=NNS PPos=IN StartS=f I
Word=. Pos=. PPos=NNS StartS=f O

Word=And Pos=CC StartS=t O
Word=in Pos=IN PPos=CC StartS=f O
Word=some Pos=DT PPos=IN StartS=f I
Word=months Pos=NNS PPos=DT StartS=f I
Word=, Pos=, PPos=NNS StartS=f O
Word=he Pos=PRP PPos=, StartS=f I
Word=buys Pos=VBZ PPos=PRP StartS=f O
Word=stock-index Pos=NN PPos=VBZ StartS=f I
Word=futures Pos=NNS PPos=NN StartS=f I
Word=and Pos=CC PPos=NNS StartS=f O
Word=not Pos=RB PPos=CC StartS=f O
Word=stocks Pos=VBZ PPos=RB StartS=f I
Word=at Pos=IN PPos=VBZ StartS=f O
Word=all Pos=DT PPos=IN StartS=f O
Word=. Pos=. PPos=DT StartS=f O

Word=`` Pos=`` StartS=t O
Word=By Pos=IN PPos=`` StartS=f O
Word=their Pos=PRP$ PPos=IN StartS=f I
Word=nature Pos=NN PPos=PRP$ StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word=our Pos=PRP$ PPos=, StartS=f I
Word=trades Pos=NNS PPos=PRP$ StartS=f I
Word=are Pos=VBP PPos=NNS StartS=f O
Word=very Pos=RB PPos=VBP StartS=f O
Word=short-term Pos=JJ PPos=RB StartS=f O
Word=and Pos=CC PPos=JJ StartS=f O
Word=are Pos=VBP PPos=CC StartS=f O
Word=going Pos=VBG PPos=VBP StartS=f O
Word=to Pos=TO PPos=VBG StartS=f O
Word=create Pos=VB PPos=TO StartS=f O
Word=high Pos=JJ PPos=VB StartS=f I
Word=turnover Pos=NN PPos=JJ StartS=f I
Word=, Pos=, PPos=NN StartS=f O
Word='' Pos='' PPos=, StartS=f O
Word=Mr. Pos=NNP PPos='' StartS=f I
Word=Carder Pos=NNP PPos=NNP StartS=f I
Word=adds Pos=VBZ PPos=NNP StartS=f O
Word=. Pos=. PPos=VBZ StartS=f O

Word=`` Pos=`` StartS=t O
Word=The Pos=DT PPos=`` StartS=f O
Word=more Pos=JJR PPos=DT StartS=f O
Word=turnover Pos=NN PPos=JJR StartS=f O
Word=, Pos=, PPos=NN StartS=f O
Word=the Pos=DT PPos=, StartS=f O
Word=better Pos=JJR PPos=DT StartS=f O
Word=for Pos=IN PPos=JJR StartS=f O
Word=our Pos=PRP$ PPos=IN StartS=f I
Word=clients Pos=NNS PPos=PRP$ StartS=f I
